,country,simple
221,"China (includes Tibet, Hong Kong, and Macau)",China
222,"Bahamas, The",Bahamas
223,Kenya ,Kenya
224,Mauritania ,Mauritania
225,"Korea, Democratic People's Republic of ",North Korea
226,Albania ,Albania
227,Andorra ,Andorra
228,Bosnia and Herzegovina ,Bosnia and Herzegovina
229,Serbia and Montenegro,Serbia
230,Brazil ,Brazil
231,Peru ,Peru
232,Macedonia,Macedonia
233,"Korea, Democratic People's Republic of*",North Korea
234,Preface,Preface
236,Introduction,Introduction
237,Montenegro,Montenegro
238,Serbia (includes Kosovo),Serbia
239,Iran*,Iran
240,Brunei Darussalam,Brunei
241,Timor-Leste,Timor-Leste
242,Kosovo,Kosovo
243,Netherlands,Netherlands
244,Serbia,Serbia
245,Slovakia,Slovakia
